Material Category,Mean (%),Margin of Error (%),Tons/Yr
Paper,22.8,0.9,57821
Corrugated Cardboard,2.9,0.4,7483
Newspaper,0.2,0.1,468
Aseptic & Gable Top Cartons,0.2,0.0,530
Mixed Recyclable Paper,5.6,0.4,14215
Paper Cups*,0.3,0.1,647
Compostable Paper,9.8,0.5,24829
Remainder/Composite Paper,3.7,0.4,9648
Plastic,18.0,0.7,45741
PET (#1) Bottles/Jars,2.0,0.2,5035
PET (#1) Thermoforms,0.5,0.1,1342
HDPE (#2) Natural Containers,0.3,0.1,831
HDPE (#2) Colored Containers,0.5,0.1,1316
#3‑#7 Bottles/Jugs,0.1,0.0,133
Plastic Trays,0.7,0.1,1736
Plastic Tubs,0.6,0.1,1494
Other Rigid Plastics,3.5,0.4,8878
Compostable Plastics,0.0,0.0,0
Plastic Bags and Film,8.2,0.4,20937
Remainder/Composite Plastic,1.2,0.2,3128
Metal,3.8,0.5,9707
Aluminum Cans,1.0,0.1,2600
Steel/Tin Cans,0.8,0.1,2042
Other Non‑Ferrous Metals,0.8,0.2,2094
Other Ferrous Metals,1.1,0.3,2738
White Goods,0.1,0.1,233
Glass,2.7,0.3,6979
Glass Bottles,1.8,0.3,4588
Glass Jars,0.5,0.1,1357
Mixed Cullet/Broken Glass,0.1,0.1,207
Other Glass,0.3,0.1,827
Other,26.4,1.7,67142
Diapers/Sanitary Products,5.5,0.7,14023
Textiles,5.6,0.8,14126
C&D Debris,2.3,0.6,5727
Mattresses,1.3,0.8,3196
Pet Waste,2.4,0.5,6170
Carpet,2.5,0.8,6314
Other Uncharacterized,3.8,0.9,9766
Fines/Supermix,2.8,0.4,7143
Lithium/Ion Batteries,0.0,0.0,38
Other Batteries,0.0,0.0,127
Paint,0.0,0.0,0
Automotive Fluids,0.0,0.0,12
Other HHW,0.0,0.0,93
Sharps/Medical Waste,0.2,0.1,409
Total,100.0,,253865
Number of Samples,61.0,,
