Material Category,Mean (%),Margin of Error (%),Tons/Yr
Paper,22.4,1.1,40696
Corrugated Cardboard,2.8,0.5,5156
Newspaper,0.2,0.1,232
Aseptic & Gable Top Cartons,0.2,0.0,380
Mixed Recyclable Paper,5.5,0.4,9930
Paper Cups*,0.3,0.1,411
Compostable Paper,9.7,0.6,15554
Remainder/Composite Paper,3.7,0.5,7033
Plastic,18.0,0.9,32776
PET (#1) Bottles/Jars,2.0,0.3,3447
PET (#1) Thermoforms,0.5,0.1,902
HDPE (#2) Natural Containers,0.3,0.1,635
HDPE (#2) Colored Containers,0.5,0.1,941
#3‑#7 Bottles/Jugs,0.1,0.0,99
Plastic Trays,0.7,0.1,1164
Plastic Tubs,0.6,0.1,1008
Other Rigid Plastics,3.5,0.5,6298
Compostable Plastics,0.0,0.0,0
Plastic Bags and Film,8.3,0.5,15191
Remainder/Composite Plastic,1.2,0.3,2179
Metal,3.8,0.6,7055
Aluminum Cans,0.9,0.1,1830
Steel/Tin Cans,0.8,0.1,1381
Other Non‑Ferrous Metals,0.9,0.2,1663
Other Ferrous Metals,1.1,0.4,1948
White Goods,0.1,0.1,233
Glass,2.7,0.4,4987
Glass Bottles,1.8,0.3,3298
Glass Jars,0.5,0.1,908
Mixed Cullet/Broken Glass,0.1,0.1,159
Other Glass,0.3,0.1,622
Other,26.4,1.9,48000
Diapers/Sanitary Products,5.3,0.8,9810
Textiles,5.7,1.0,10184
C&D Debris,2.3,0.7,4056
Mattresses,1.3,0.9,2266
Pet Waste,2.5,0.6,4513
Carpet,2.6,1.0,4672
Other Uncharacterized,3.8,1.0,6936
Fines/Supermix,2.8,0.5,5233
Lithium/Ion Batteries,0.0,0.0,38
Other Batteries,0.0,0.0,127
Paint,0.0,0.0,0
Automotive Fluids,0.0,0.0,12
Other HHW,0.0,0.0,93
Sharps/Medical Waste,0.1,0.1,160
Total,100.0,,181985
Number of Samples,20.0,,
